,index,Country,Region,Rating,Nratings,Label,Winery,Price,Wine_Variety
127,127,France,Saint-Julien,4.4,764,Saint-Julien (Grand Cru Classé) 1999,Château Léoville Poyferré,"149,307",['Cabernet Sauvignon']
128,128,France,Saint-Julien,4.4,740,Saint-Julien (Grand Cru Classé) 2004,Château Beychevelle,"118,207","['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']"
129,129,Chile,Cachapoal Valley,4.4,736,Altair 2004,San Pedro,"187,795","['Shiraz/Syrah', 'Cabernet Sauvignon', 'Cabernet Franc', 'Petit Verdot']"
130,130,France,Côte-Rôtie,4.4,724,La Landonne Côte-Rôtie 2001,Delas,"210,270",['Shiraz/Syrah']
131,131,France,Pauillac,4.4,590,Carruades de Lafite Pauillac 1999,Château Lafite Rothschild,"491,475","['Cabernet Sauvignon', 'Merlot']"
132,132,France,Margaux,4.4,584,Grand Vin de Château Palmer (Grand Cru Classé) 1988,Chateau Palmer,"479,023","['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']"
133,133,France,Pauillac,4.4,578,Pauillac (Grand Cru Classé) 1993,Château Lynch-Bages,"186,634","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
134,134,France,Saint-Émilion Grand Cru,4.4,576,Saint-Émilion Grand Cru (Grand Cru Classé) 2016,Château La Marzelle,"168,207","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
135,135,France,Haut-Médoc,4.4,575,Haut-Médoc (3éme Grand Cru Classé en 1855) 1982,Château La Lagune,"179,169","['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']"
136,136,Italy,Toscana,4.4,568,Cepparello Red 2018,Isole e Olena,"141,842",['Sangiovese']
137,137,France,Saint-Émilion Grand Cru,4.4,563,Saint-Émilion Grand Cru (Grand Cru Classé) 2015,Château La Marzelle,"168,207","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
138,138,France,Margaux,4.4,547,Pavillon Rouge du Château Margaux 1998,Château Margaux,"246,357","['Cabernet Sauvignon', 'Merlot']"
139,139,France,Saint-Émilion Grand Cru,4.4,530,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2005,Clos Fourtet,"246,357","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
140,140,France,Pauillac,4.4,490,Carruades de Lafite Pauillac 1995,Château Lafite Rothschild,"333,448","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
141,141,France,Pessac-Léognan,4.4,485,Pessac-Léognan (Grand Cru Classé) 1995,Château Smith Haut-Lafitte,"180,408","['Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
142,142,Chile,Colchagua Valley,4.4,459,Purple Angel 2006,Montes,"76,651","['Petit Verdot', 'Carménère']"
143,143,France,Pomerol,4.4,435,Pomerol 2014,Château La Conseillante,"223,961","['Merlot', 'Cabernet Franc']"
