"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BOM00033105","1967-01","51.783","28.333","141.0","LELOIOV, BO","","","14","1,I","5","1,I","0","1,I","","","","","","","","","","","","","","","","","19670123",",1,I","","","","","","","6.1","1,,I,23,","","","","","30.4","1,,,I","","","","","",""
"BOM00033105","1967-02","51.783","28.333","141.0","LELOIOV, BO","","","13",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19670204",",,I","","","","","","","6.1",",,I,04,","","","","","23.2",",,,I","","","","","",""
"BOM00033105","1967-03","51.783","28.333","141.0","LELOIOV, BO","","","16",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19670330",",,I","","","","","","","16.6",",,I,30,","","","","","57.5",",,,I","","","","","",""
"BOM00033105","1967-04","51.783","28.333","141.0","LELOIOV, BO","","","16",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19670402",",,I","","","","","","","14.3",",,I,02,","","","","","65.8",",,,I","","","","","",""
"BOM00033105","1967-05","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","8",",I","2",",I","","","","","","","","","","","","","","","","","19670523",",,I","","","","","","","43.9",",,I,23,","","","","","126.1",",,,I","","","","","",""
"BOM00033105","1967-06","51.783","28.333","141.0","LELOIOV, BO","","","8",",I","1",",I","1",",I","","","","","","","","","","","","","","","","","19670625",",,I","","","","","","","37.4",",,I,25,","","","","","44.9",",,,I","","","","","",""
"BOM00033105","1967-07","51.783","28.333","141.0","LELOIOV, BO","","","4",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19670724",",,I","","","","","","","15.7",",,I,24,","","","","","32.6",",,,I","","","","","",""
"BOM00033105","1967-08","51.783","28.333","141.0","LELOIOV, BO","","","13",",I","9",",I","0",",I","","","","","","","","","","","","","","","","","19670823",",,I","","","","","","","16.5",",,I,23,","","","","","87.0",",,,I","","","","","",""
"BOM00033105","1967-09","51.783","28.333","141.0","LELOIOV, BO","","","3",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19670923",",,I","","","","","","","4.7",",,I,23,","","","","","6.1",",,,I","","","","","",""
"BOM00033105","1967-10","51.783","28.333","141.0","LELOIOV, BO","","","9",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19671006",",,I","","","","","","","14.0",",,I,06,","","","","","31.3",",,,I","","","","","",""
