"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BOM00026745","1963-10","54.483","26.9","183.0","VILEYKA, BO","12",",I","7",",I","2",",I","","","","","19631006",",,I","","","38.2",",,I,06,","96.9",",,,I"
"BOM00026745","1963-11","54.483","26.9","183.0","VILEYKA, BO","19",",I","13",",I","0",",I","","","","","19631107",",,I","","","11.8",",,I,07,","90.5",",,,I"
"BOM00026745","1963-12","54.483","26.9","183.0","VILEYKA, BO","12",",I","2",",I","0",",I","","","","","19631227",",,I","","","4.3",",,I,27,","16.1",",,,I"
"BOM00026745","1964-01","54.483","26.9","183.0","VILEYKA, BO","6",",I","1",",I","0",",I","","","","","19640127",",,I","","","7.2",",,I,27,","14.5",",,,I"
"BOM00026745","1964-02","54.483","26.9","183.0","VILEYKA, BO","13",",I","6",",I","0",",I","","","","","19640218",",,I","","","11.1",",,I,18,","39.2",",,,I"
"BOM00026745","1964-03","54.483","26.9","183.0","VILEYKA, BO","12",",I","6",",I","0",",I","","","","","19640311",",,I","","","9.5",",,I,11,","44.1",",,,I"
"BOM00026745","1964-04","54.483","26.9","183.0","VILEYKA, BO","10",",I","7",",I","0",",I","","","","","19640430",",,I","","","8.9",",,I,30,","44.2",",,,I"
"BOM00026745","1964-05","54.483","26.9","183.0","VILEYKA, BO","10",",I","4",",I","0",",I","","","","","19640518",",,I","","","17.0",",,I,18,","36.1",",,,I"
"BOM00026745","1964-06","54.483","26.9","183.0","VILEYKA, BO","5",",I","4",",I","1",",I","","","","","19640609",",,I","","","30.8",",,I,09,","48.4",",,,I"
"BOM00026745","1964-07","54.483","26.9","183.0","VILEYKA, BO","8",",I","3",",I","1",",I","","","","","19640724",",,I","","","29.4",",,I,24,","45.3",",,,I"
"BOM00026745","1964-08","54.483","26.9","183.0","VILEYKA, BO","11",",I","4",",I","0",",I","","","","","19640805",",,I","","","19.7",",,I,05,","70.0",",,,I"
"BOM00026745","1964-09","54.483","26.9","183.0","VILEYKA, BO","12",",I","5",",I","0",",I","","","","","19640922",",,I","","","18.6",",,I,22,","52.3",",,,I"
"BOM00026745","1964-10","54.483","26.9","183.0","VILEYKA, BO","9",",I","4",",I","1",",I","","","","","19641010",",,I","","","37.6",",,I,10,","79.5",",,,I"
"BOM00026745","1964-11","54.483","26.9","183.0","VILEYKA, BO","16",",I","11",",I","0",",I","","","","","19641130","+,,I","","","11.2",",,I,30,+","72.9",",,,I"
"BOM00026745","1964-12","54.483","26.9","183.0","VILEYKA, BO","15",",I","5",",I","0",",I","","","","","19641205",",,I","","","17.2",",,I,05,","46.1",",,,I"
"BOM00026745","1965-01","54.483","26.9","183.0","VILEYKA, BO","17",",I","8",",I","0",",I","","","","","19650131",",,I","","","10.2",",,I,31,","54.8",",,,I"
"BOM00026745","1965-02","54.483","26.9","183.0","VILEYKA, BO","18",",I","5",",I","0",",I","","","","","19650210",",,I","","","5.3",",,I,10,","31.0",",,,I"
"BOM00026745","1965-03","54.483","26.9","183.0","VILEYKA, BO","14",",I","5",",I","0",",I","","","","","19650303",",,I","","","11.8",",,I,03,","44.3",",,,I"
"BOM00026745","1965-04","54.483","26.9","183.0","VILEYKA, BO","7",",I","2",",I","0",",I","","","","","19650423",",,I","","","9.1",",,I,23,","17.6",",,,I"
"BOM00026745","1965-05","54.483","26.9","183.0","VILEYKA, BO","16",",I","7",",I","0",",I","","","","","19650530",",,I","","","13.3",",,I,30,","53.7",",,,I"
