"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00087038","1937-11","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","3",",a","1",",a","0",",a","","","","","","","","","","","","","19371115",",,a","","","","","4.6",",,a,15,","","","","","5.4",",,,a","","","","","",""
"ASN00087038","1937-12","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","12",",a","5",",a","0",",a","","","","","","","","","","","","","19371204",",,a","","","","","13.5",",,a,04,","","","","","40.6",",,,a","","","","","",""
"ASN00087038","1938-01","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","9",",a","2",",a","0",",a","","","","","","","","","","","","","19380115",",,a","","","","","16.3",",,a,15,","","","","","24.8",",,,a","","","","","",""
"ASN00087038","1938-02","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","6",",a","1",",a","1",",a","","","","","","","","","","","","","19380205",",,a","","","","","32.8",",,a,05,","","","","","39.2",",,,a","","","","","",""
"ASN00087038","1938-03","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","6",",a","3",",a","0",",a","","","","","","","","","","","","","19380301",",,a","","","","","11.4",",,a,01,","","","","","25.2",",,,a","","","","","",""
"ASN00087038","1938-04","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","4",",a","2",",a","0",",a","","","","","","","","","","","","","19380419",",,a","","","","","5.3",",,a,19,","","","","","12.2",",,,a","","","","","",""
"ASN00087038","1938-05","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","6",",a","1",",a","0",",a","","","","","","","","","","","","","19380527",",,a","","","","","4.3",",,a,27,","","","","","6.2",",,,a","","","","","",""
"ASN00087038","1938-06","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","16",",a","7",",a","0",",a","","","","","","","","","","","","","19380616",",,a","","","","","13.7",",,a,16,","","","","","64.0",",,,a","","","","","",""
"ASN00087038","1938-07","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","13",",a","5",",a","0",",a","","","","","","","","","","","","","19380730",",,a","","","","","9.9",",,a,30,","","","","","33.3",",,,a","","","","","",""
"ASN00087038","1938-08","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","10",",a","1",",a","0",",a","","","","","","","","","","","","","19380803",",,a","","","","","5.6",",,a,03,","","","","","15.3",",,,a","","","","","",""
