"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085244","1999-12","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","0","5,S","0","5,S","0","3,S","28","3,S","10","3,S","19991207",",5,S","","","19991226","+,3,S","15.8","5,S,07,","","","35.4","3,S,26,+","","","","","26.47","7,S","31.41","3,,,S","21.54","5,,,S"
"BLM00085244","2000-01","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0",",S","31",",S","19",",S","","","","","20000105",",,S","","","","","37.2",",S,05,","","","","","","","33.04",",,,S","",""
"BLM00085244","2000-02","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","0","4,S","0","4,S","0","5,S","24","5,S","12","5,S","20000204",",4,S","","","20000227","+,5,S","18.8","4,S,04,","","","33.6","5,S,27,+","","","","","26.49","8,S","31.44","5,,,S","21.55","4,,,S"
"BLM00085244","2000-03","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","3,S","28","3,S","5","3,S","","","","","20000326",",3,S","","","","","33.2","3,S,26,","","","","","","","29.85","3,,,S","",""
"BLM00085244","2000-04","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","2,S","28","2,S","6","2,S","","","","","20000413","+,2,S","","","","","34.6","2,S,13,+","","","","","","","30.92","2,,,S","",""
"BLM00085244","2000-05","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","2,S","27","2,S","0","2,S","","","","","20000516","+,2,S","","","","","31.4","2,S,16,+","","","","","","","27.20","2,,,S","",""
"BLM00085244","2000-06","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","3,S","21","3,S","0","3,S","","","","","20000606",",3,S","","","","","30.8","3,S,06,","","","","","","","25.86","3,,,S","",""
"BLM00085244","2000-08","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","5,S","24","5,S","10","5,S","","","","","20000819",",5,S","","","","","34.2","5,S,19,","","","","","","","29.07","5,,,S","",""
"BLM00085244","2000-09","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","3,S","24","3,S","13","3,S","","","","","20000922","+,3,S","","","","","34.6","3,S,22,+","","","","","","","29.97","3,,,S","",""
"BLM00085244","2000-10","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","1,S","30","1,S","17","1,S","","","","","20001003",",1,S","","","","","35.0","1,S,03,","","","","","","","32.09","1,,,S","",""
"BLM00085244","2001-01","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","4,S","27","4,S","8","4,S","","","","","20010115","+,4,S","","","","","33.5","4,S,15,+","","","","","","","31.23","4,,,S","",""
"BLM00085244","2001-02","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","3,S","25","3,S","8","3,S","","","","","20010210","+,3,S","","","","","34.4","3,S,10,+","","","","","","","31.88","3,,,S","",""
"BLM00085244","2001-03","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","5,S","26","5,S","9","5,S","","","","","20010314","+,5,S","","","","","33.2","5,S,14,+","","","","","","","31.04","5,,,S","",""
"BLM00085244","2001-04","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","2,S","28","2,S","12","2,S","","","","","20010416","+,2,S","","","","","36.2","2,S,16,+","","","","","","","30.38","2,,,S","",""
"BLM00085244","2001-05","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","5,S","20","5,S","0","5,S","","","","","20010522","+,5,S","","","","","31.0","5,S,22,+","","","","","","","24.86","5,,,S","",""
"BLM00085244","2001-06","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","0","4,S","0","4,S","0","3,S","22","3,S","0","3,S","20010621",",4,S","","","20010603","+,3,S","4.1","4,S,21,","","","31.2","3,S,03,+","","","","","20.26","6,S","26.10","3,,,S","14.42","4,,,S"
